rank,company,symbol,ytd_return
215,Datadog,,9.48
216,Republic Services,,9.40
217,Deere & Company,,9.16
218,Corteva,,9.09
219,Visa Inc.,,9.08
220,Berkshire Hathaway,,8.97
221,Qualcomm,,8.93
222,Expeditors International,,8.88
223,Pentair,,8.85
224,Crown Castle,,8.65
225,General Motors,,8.48
226,IQVIA,,8.00
227,Cincinnati Financial,,7.86
228,Linde plc,,7.74
229,Textron,,7.72
230,Mohawk Industries,,7.72
231,Mastercard,,7.71
232,Waste Management,,6.96
233,Hewlett Packard Enterprise,,6.95
234,American International Group,,6.90
235,Vici Properties,,6.89
236,Expand Energy,,6.81
237,Chevron Corporation,,6.76
238,NXP Semiconductors,,6.60
239,Agilent Technologies,,6.53
240,Intuit,,6.31
241,McDonald's,,6.28
242,Raymond James Financial,,6.27
243,Stryker Corporation,,6.22
244,DuPont,,6.13
245,Sempra,,5.61
246,Hilton Worldwide,,5.42
247,Willis Towers Watson,,5.36
248,Emerson Electric,,5.35
249,Aflac,,5.30
250,Cintas,,5.26
251,Apple Inc.,,5.25
252,American Tower,,5.22
253,Mondelez International,,5.10
254,ExxonMobil,,4.71
255,Lilly (Eli),,4.65
256,CoStar Group,,4.64
257,Thermo Fisher Scientific,,4.60
258,United Airlines Holdings,,4.59
259,Sysco,,4.38
260,Intercontinental Exchange,,4.24
261,T-Mobile US,,4.23
262,Autodesk,,4.15
263,Ross Stores,,4.09
264,Vertex Pharmaceuticals,,4.09
265,Tractor Supply,,4.07
266,Lockheed Martin,,4.07
267,Ametek,,4.06
268,Public Storage,,4.01
269,Simon Property Group,,3.91
270,Booking Holdings,,3.73
271,Wabtec,,3.69
272,TransDigm Group,,3.29
273,Hubbell Incorporated,,3.28
274,Keysight Technologies,,2.89
275,Kellanova,,2.57
276,Williams-Sonoma,,2.56
277,A. O. Smith,,2.55
278,Regions Financial Corporation,,2.42
279,Southwest Airlines,,2.22
280,Veralto,,2.21
281,Broadridge Financial Solutions,,2.21
282,Principal Financial Group,,2.18
283,Delta Air Lines,,2.17
284,Costco,,1.99
285,Verizon,,1.79
286,Edwards Lifesciences,,1.61
287,KeyCorp,,1.31
288,Extra Space Storage,,1.23
289,Match Group,,1.16
290,NetApp,,1.08
291,PepsiCo,,1.02
292,Domino's,,0.79
293,Allstate,,0.78
294,Walt Disney Company (The),,0.71
295,Darden Restaurants,,0.67
296,Public Service Enterprise Group,,0.66
297,Kinder Morgan,,0.64
298,Moody's Corporation,,0.60
299,Iron Mountain,,0.44
300,Truist Financial,,0.18
301,Home Depot (The),,0.08
302,Snap-on,,0.04
303,Union Pacific Corporation,,-0.06
304,Illinois Tool Works,,-0.39
305,Hologic,,-0.39
306,Charles River Laboratories,,-0.64
307,Otis Worldwide,,-0.82
308,Fifth Third Bancorp,,-1.27
309,News Corp (Class B),,-1.28
310,Amazon,,-1.31
311,U.S. Bancorp,,-1.39
312,Paycom,,-1.39
313,Lowe's,,-1.60
314,Arthur J. Gallagher & Co.,,-1.63
315,Lamb Weston,,-1.63
316,CF Industries,,-1.73
317,Assurant,,-1.79
318,Gen Digital,,-2.29
319,Regency Centers,,-2.32
320,Zimmer Biomet,,-2.33
321,Sherwin-Williams,,-2.39
322,Roper Technologies,,-2.59
323,Devon Energy,,-2.61
324,Huntington Bancshares,,-2.64
325,APA Corporation,,-2.65
326,M&T Bank,,-2.83
327,Las Vegas Sands,,-2.85
328,Digital Realty,,-2.89
329,Chubb Limited,,-2.92
330,SBA Communications,,-2.92
331,J.B. Hunt,,-2.94
332,Motorola Solutions,,-2.98
333,Airbnb,,-3.05
334,Everest Group,,-3.11
335,GE HealthCare,,-3.17
336,Automatic Data Processing,,-3.23
337,MetLife,,-3.49
338,News Corp (Class A),,-3.67
339,Elevance Health,,-3.84
340,Texas Instruments,,-3.86
341,S&P Global,,-4.04
342,Aon,,-4.10
343,J.M. Smucker Company (The),,-4.22
344,Biogen,,-4.40
345,Lennar,,-4.48
346,"BXP, Inc.",,-4.78
347,Interpublic Group of Companies (The),,-4.91
348,Masco,,-5.08
349,PNC Financial Services,,-5.52
350,Best Buy,,-5.60
351,Arch Capital Group,,-5.77
352,Kimco Realty,,-5.83
353,"NVR, Inc.",,-5.96
354,Dayforce,,-5.98
355,Host Hotels & Resorts,,-6.25
356,Paccar,,-6.26
357,"Workday, Inc.",,-6.37
358,Marriott International,,-6.55
359,Synopsys,,-6.74
360,Blackstone Inc.,,-6.90
361,Pfizer,,-7.14
362,Starbucks,,-7.35
363,Waters Corporation,,-7.68
364,T. Rowe Price,,-7.72
365,Healthpeak Properties,,-7.75
366,Kimberly-Clark,,-7.80
367,MGM Resorts,,-7.95
368,Henry Schein,,-7.98
369,W. W. Grainger,,-8.04
370,Progressive Corporation,,-8.18
371,Tyson Foods,,-8.52
372,Coterra,,-8.59
373,Essex Property Trust,,-8.64
374,Packaging Corporation of America,,-8.79
375,Honeywell,,-8.85
376,Equifax,,-9.13
377,Omnicom Group,,-9.18
378,Danaher Corporation,,-9.19
379,Procter & Gamble,,-9.41
380,Dover Corporation,,-9.80
381,Norwegian Cruise Line Holdings,,-9.87
382,"Block, Inc.",,-9.92
383,Paychex,,-9.97
384,Fortinet,,-10.16
385,"Nike, Inc.",,-10.29
386,Marsh McLennan,,-10.39
387,MSCI,,-10.41
388,CDW,,-10.70
389,Invitation Homes,,-10.71
390,Zoetis,,-10.76
391,International Paper,,-10.92
392,Ameriprise Financial,,-10.92
393,Tyler Technologies,,-10.96
394,Federal Realty Investment Trust,,-11.02
395,Camden Property Trust,,-11.14
396,McCormick & Company,,-11.14
397,Ball Corporation,,-11.51
398,Jack Henry & Associates,,-11.52
399,Intuitive Surgical,,-11.93
400,Lennox International,,-12.06
401,ConocoPhillips,,-12.19
402,Equinix,,-12.36
403,ON Semiconductor,,-12.48
404,Dexcom,,-12.52
405,Air Products,,-12.57
406,Fortive,,-12.59
407,Schlumberger,,-12.84
408,Equity Residential,,-12.99
409,Bio-Techne,,-13.05
410,Cognizant,,-13.10
411,Merck & Co.,,-13.17
412,ServiceNow,,-13.21
413,EOG Resources,,-13.25
414,Ingersoll Rand,,-13.30
415,Colgate-Palmolive,,-13.31
416,Keurig Dr Pepper,,-13.38
417,Amcor,,-13.44
418,Pool Corporation,,-13.58
419,Brown & Brown,,-13.85
420,Skyworks Solutions,,-13.99
421,Stanley Black & Decker,,-14.00
422,Diamondback Energy,,-14.02
423,Builders FirstSource,,-14.06
424,Prudential Financial,,-14.10
425,Mid-America Apartment Communities,,-14.11
